ID,game_ID,player_ID,positionPlayed_code,outsPlayed,involvedInPlays,completedPlays,errors,passedBalls,stolenBasesAllowed,caughtStealing,notes
"755d5f0e-3c1d-4f34-b85e-de895256f91f","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","88d4a086-36ee-4724-80c6-1d89d576e875",3,6,0,0,0,0,0,0,""
"2fe4a054-a5d4-421b-884a-d4bcc12fb8e6","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","88d4a086-36ee-4724-80c6-1d89d576e875",1,9,0,0,0,0,0,0,""
"7b5e8107-31ad-469c-b204-5a93a520f581","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","60449151-ce4f-42f4-a0da-6e3ce3fc8253",5,15,0,0,0,0,0,0,""
"c69e00b2-906c-45b9-afb1-6c43cfaf2a85","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","b6466032-b94f-42ef-a35b-6bfc334dc1d5",4,15,3,3,0,0,0,0,""
"8d26df4c-f260-4ecd-903c-3b36244953e2","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","7e6bfd1a-164f-4266-ad06-4f68294aaede",2,6,0,0,1,0,0,0,""
"ce838e5c-de51-4fb7-b374-4f71393acd1a","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","b6b5e8a5-95bd-495c-8af2-e481fa22d8f4",7,15,2,2,0,0,0,0,""
"63b9f89c-65aa-4765-b20c-109856410167","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","def89156-47ec-42b2-9814-ab47819fe33d",9,6,0,0,1,0,0,0,""
"e7ca0d64-8751-4ed5-bda6-53e32d91ee6c","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","c8e579c1-5c17-4811-a7c6-2504630d22d6",1,2,0,0,0,0,0,0,""
"b5eb1f75-5628-4602-a2a8-cb566387f929","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","c8e579c1-5c17-4811-a7c6-2504630d22d6",3,9,1,0,1,0,0,0,""
"444de0cf-2742-459e-ba79-5cbbff039908","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",2,9,0,0,0,0,0,0,""
