ID,game_ID,player_ID,inning,plateAppearanceInGame,outcome_code,runsScored,rbis,firstPitchSwing,pitchesSeen,hardContact
"e78b2884-0f19-4a8e-8b7e-d2fe55dac910","4ac602d8-2086-4ad2-be16-326eba2757d6","c3d7614c-0a42-415c-8055-f1f46f1577ad",1,3,"OUT",0,0,"true",4,"true"
"d39f6938-1800-4842-8927-bb3f71f60f29","4ac602d8-2086-4ad2-be16-326eba2757d6","88d4a086-36ee-4724-80c6-1d89d576e875",2,4,"OUT",0,0,"true",3,"true"
"9f30a20c-2c81-41c3-a62b-6378c1b935da","4ac602d8-2086-4ad2-be16-326eba2757d6","60449151-ce4f-42f4-a0da-6e3ce3fc8253",2,5,"OUT",0,0,"true",2,"true"
"86bf6b10-0946-480b-bb2a-271e0b6b8235","4ac602d8-2086-4ad2-be16-326eba2757d6","b6466032-b94f-42ef-a35b-6bfc334dc1d5",2,6,"S",0,0,"true",6,"true"
"a80efdc8-b1dc-4208-94d1-18114383681e","4ac602d8-2086-4ad2-be16-326eba2757d6","7e6bfd1a-164f-4266-ad06-4f68294aaede",2,7,"K",0,0,"true",5,"true"
"9fa262c0-6830-4770-b853-1787ab7bde17","4ac602d8-2086-4ad2-be16-326eba2757d6","b6b5e8a5-95bd-495c-8af2-e481fa22d8f4",3,8,"ROE",0,0,"true",5,"true"
"16ce4c7f-0bf7-4d73-8d11-17ccf7d3e398","4ac602d8-2086-4ad2-be16-326eba2757d6","def89156-47ec-42b2-9814-ab47819fe33d",3,9,"OUT",0,0,"true",6,"true"
"c65c9855-2193-40f3-b0cc-6426111a2ec6","4ac602d8-2086-4ad2-be16-326eba2757d6","c8e579c1-5c17-4811-a7c6-2504630d22d6",3,1,"S",0,0,"true",3,"true"
"ad875b3d-38ea-4b2f-a0e0-a27302879524","4ac602d8-2086-4ad2-be16-326eba2757d6","55f12045-d7fc-4a0f-824b-95e8b8ddc0b7",3,2,"OUT",0,0,"true",3,"true"
"fa38ce3f-ae72-4596-9eda-0743a166e612","4ac602d8-2086-4ad2-be16-326eba2757d6","c3d7614c-0a42-415c-8055-f1f46f1577ad",3,3,"D",0,2,"true",5,"true"
"5db311ac-9b01-4c1e-9a70-607bc9cab456","4ac602d8-2086-4ad2-be16-326eba2757d6","88d4a086-36ee-4724-80c6-1d89d576e875",3,4,"OUT",0,0,"true",3,"true"
"59b46abb-ef4f-414c-be62-d1774a15fade","4ac602d8-2086-4ad2-be16-326eba2757d6","60449151-ce4f-42f4-a0da-6e3ce3fc8253",4,5,"K",0,0,"true",6,"true"
"e29916e7-9250-4194-9973-fb3ce09b0b19","4ac602d8-2086-4ad2-be16-326eba2757d6","b6466032-b94f-42ef-a35b-6bfc334dc1d5",4,6,"K",0,0,"true",5,"true"
"568668d1-6727-42a3-a9ed-bc31966be4c7","4ac602d8-2086-4ad2-be16-326eba2757d6","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",4,7,"BB",0,0,"true",7,"true"
"665842d9-6faf-4c6e-a48b-5dbc228e8a4e","4ac602d8-2086-4ad2-be16-326eba2757d6","604162f0-41a5-41d4-bb78-a9b0a2c1bc19",4,8,"D",0,1,"true",5,"true"
"27e81ae2-c443-4a89-9bd5-b59ca56c76d0","4ac602d8-2086-4ad2-be16-326eba2757d6","def89156-47ec-42b2-9814-ab47819fe33d",4,9,"D",0,1,"true",6,"true"
"cc22bc5b-bab2-4ee8-b739-a49a90f6122e","4ac602d8-2086-4ad2-be16-326eba2757d6","c8e579c1-5c17-4811-a7c6-2504630d22d6",4,1,"D",0,1,"true",2,"true"
"a8f2b539-1703-409e-b172-057006f9e2f5","4ac602d8-2086-4ad2-be16-326eba2757d6","55f12045-d7fc-4a0f-824b-95e8b8ddc0b7",4,2,"D",0,1,"true",3,"true"
"13525d28-631d-457f-a190-26c229645319","4ac602d8-2086-4ad2-be16-326eba2757d6","c3d7614c-0a42-415c-8055-f1f46f1577ad",4,3,"T",0,1,"true",3,"true"
"6e15d4f8-6152-43f8-8798-ec5515b08598","4ac602d8-2086-4ad2-be16-326eba2757d6","88d4a086-36ee-4724-80c6-1d89d576e875",4,4,"OUT",0,0,"true",3,"true"
"a1f251a5-0546-4382-a859-d44dccfd9cac","4ac602d8-2086-4ad2-be16-326eba2757d6","60449151-ce4f-42f4-a0da-6e3ce3fc8253",5,5,"BB",0,0,"true",5,"true"
"f0e70ae1-975a-478b-834e-db3709162451","4ac602d8-2086-4ad2-be16-326eba2757d6","b6466032-b94f-42ef-a35b-6bfc334dc1d5",5,6,"BB",0,0,"true",4,"true"
"5c7d6e51-7da8-4b28-a04c-8e99d5c3f08e","4ac602d8-2086-4ad2-be16-326eba2757d6","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",5,7,"BB",0,0,"true",4,"true"
"a6d02b56-9160-46ce-b3c1-cf11abbd4397","4ac602d8-2086-4ad2-be16-326eba2757d6","604162f0-41a5-41d4-bb78-a9b0a2c1bc19",5,8,"FC",0,2,"true",4,"true"
"33b2fc1d-b945-478b-a6c9-52155268143d","4ac602d8-2086-4ad2-be16-326eba2757d6","b6b5e8a5-95bd-495c-8af2-e481fa22d8f4",5,9,"FC",0,0,"true",3,"true"
"edd8ccb3-c996-4050-b378-321e9abb26a9","4ac602d8-2086-4ad2-be16-326eba2757d6","c8e579c1-5c17-4811-a7c6-2504630d22d6",5,1,"OUT",0,0,"true",1,"true"
"8d39e6a6-8793-463a-be17-578a63541be8","6d8b7108-7b84-4a9b-a587-315bead8bccc","dabe745e-5cf0-4738-915e-3ac125dec269",1,1,"S",1,0,"true",2,"true"
"48b7fb83-45bf-460a-9292-f3f62c5b3923","6d8b7108-7b84-4a9b-a587-315bead8bccc","55f12045-d7fc-4a0f-824b-95e8b8ddc0b7",1,2,"OUT",0,0,"true",4,"true"
"81f8105f-6111-46f8-9cd5-9dc696a5d7ee","6d8b7108-7b84-4a9b-a587-315bead8bccc","c3d7614c-0a42-415c-8055-f1f46f1577ad",1,3,"D",1,1,"true",3,"true"
"5b815c3c-4f41-4ae2-a925-570371bcbe47","6d8b7108-7b84-4a9b-a587-315bead8bccc","88d4a086-36ee-4724-80c6-1d89d576e875",1,4,"BB",1,0,"true",5,"true"
"43e0db3d-3653-4b3b-a121-2c5f8f28b481","6d8b7108-7b84-4a9b-a587-315bead8bccc","b6466032-b94f-42ef-a35b-6bfc334dc1d5",1,5,"BB",1,0,"true",4,"true"
"a034339a-1d54-4b7f-ae11-88348d011508","6d8b7108-7b84-4a9b-a587-315bead8bccc","60449151-ce4f-42f4-a0da-6e3ce3fc8253",1,6,"D",0,3,"true",5,"true"
"d0c18c88-ddb7-43a7-ad10-4bcbc6ac66a3","6d8b7108-7b84-4a9b-a587-315bead8bccc","604162f0-41a5-41d4-bb78-a9b0a2c1bc19",1,7,"ROE",0,1,"true",4,"true"
"3c6a4702-3fdd-40fe-87dd-02232402d291","6d8b7108-7b84-4a9b-a587-315bead8bccc","c8e579c1-5c17-4811-a7c6-2504630d22d6",1,8,"BB",0,0,"true",4,"true"
"ee49f400-5bba-48cc-8a7d-2ae7051e969c","6d8b7108-7b84-4a9b-a587-315bead8bccc","7e6bfd1a-164f-4266-ad06-4f68294aaede",1,9,"K",0,0,"true",3,"true"
"d0bcb98e-5ebf-4e2c-a172-7b80aa09f621","6d8b7108-7b84-4a9b-a587-315bead8bccc","b6b5e8a5-95bd-495c-8af2-e481fa22d8f4",2,10,"ROE",1,0,"true",2,"true"
"5bc6bf21-bea1-45db-9dcf-ce402f8aa103","6d8b7108-7b84-4a9b-a587-315bead8bccc","dabe745e-5cf0-4738-915e-3ac125dec269",2,1,"OUT",0,0,"true",4,"true"
"bdbf0b26-097a-4fcb-8e4b-216d71982a72","6d8b7108-7b84-4a9b-a587-315bead8bccc","55f12045-d7fc-4a0f-824b-95e8b8ddc0b7",2,2,"OUT",0,0,"true",4,"true"
"e39bb9da-7f09-4003-a927-df8cfa7c1390","6d8b7108-7b84-4a9b-a587-315bead8bccc","c3d7614c-0a42-415c-8055-f1f46f1577ad",2,3,"K",0,0,"true",3,"true"
"dbff4ba7-da2e-4ddc-ae1b-8484c1ef4829","6d8b7108-7b84-4a9b-a587-315bead8bccc","88d4a086-36ee-4724-80c6-1d89d576e875",3,4,"BB",0,0,"true",5,"true"
"73385462-5442-48d5-b4cb-39fcec6de851","6d8b7108-7b84-4a9b-a587-315bead8bccc","b6466032-b94f-42ef-a35b-6bfc334dc1d5",3,5,"BB",0,0,"true",4,"true"
"e610c6e6-d8c6-41e7-a5e5-12bb8a2a083c","6d8b7108-7b84-4a9b-a587-315bead8bccc","60449151-ce4f-42f4-a0da-6e3ce3fc8253",3,6,"K",0,0,"true",6,"true"
"58e3e715-e919-4b94-9988-e3ebe70d6c33","6d8b7108-7b84-4a9b-a587-315bead8bccc","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",3,7,"K",0,0,"true",4,"true"
